n_nodes,rank_mean,rank_std,rank_max,rank_min,rc_mean,rc_std,rc_max,dis_mean,dis_std,dis_max,dio_mean,dio_max,disrx_mean,disrx_max,version_spread,txe_mean,txe_std,rxe_mean,pdr_mean,pdr_min,label,group
10,435.2,102.38730390043484,591,310,99.9,1.6401219466856725,103,0.2,0.4000000000000001,1,15.4,19,0.0,0,0,1280838.4,613589.9142513996,26276284.4,1.0,1.0,0,data_normal
10,429.9,108.28337822583852,551,283,103.7,1.7916472867168916,107,0.2,0.4000000000000001,1,15.6,19,0.0,0,0,1326579.2,637344.5901608956,26778451.6,1.0,1.0,0,data_normal
10,427.7,104.9676616868262,535,264,107.5,1.6881943016134133,111,0.2,0.4000000000000001,1,16.0,20,0.0,0,0,1373097.6,653693.2624262238,27299757.2,1.0,1.0,0,data_normal
10,424.1,106.48422418367898,551,270,111.4,1.4966629547095764,114,0.2,0.4000000000000001,1,16.1,20,0.0,0,0,1418784.0,675957.8462407253,27820142.8,1.0,1.0,0,data_normal
10,432.1,103.196366215095,577,286,115.1,1.6401219466856725,118,0.2,0.4000000000000001,1,16.7,21,0.0,0,0,1465123.2,697739.5251955847,28308378.0,1.0,1.0,0,data_normal
10,440.2,92.72194993635541,564,297,118.6,1.624807680927192,121,0.2,0.4000000000000001,1,17.1,22,0.0,0,0,1514800.0,724715.5100247269,28810829.2,1.0,1.0,0,data_normal
10,442.2,88.82319516882964,571,320,122.5,1.5652475842498528,125,0.2,0.4000000000000001,1,17.1,22,0.0,0,0,1561558.4,743976.9508412476,29344841.2,1.0,1.0,0,data_normal
10,442.4,99.78296447791077,612,309,126.2,1.8330302779823362,129,0.2,0.4000000000000001,1,17.5,23,0.0,0,0,1610873.6,770816.4331848667,29852211.2,1.0,1.0,0,data_normal
10,441.2,96.74688625480408,585,313,129.9,1.7,132,0.2,0.4000000000000001,1,18.0,24,0.0,0,0,1659763.2,796447.0907721114,30364503.6,1.0,1.0,0,data_normal
10,436.2,91.036036820591,580,306,133.5,1.6881943016134133,136,0.2,0.4000000000000001,1,18.1,24,0.0,0,0,1703577.6,821678.1770853112,30852713.6,1.0,1.0,0,data_normal
10,451.0,110.79801442264207,570,294,137.4,1.624807680927192,140,0.2,0.4000000000000001,1,18.4,24,0.0,0,0,1751670.4,835032.6471475471,31385556.4,1.0,1.0,0,data_normal
10,461.3,107.00285042932268,607,321,141.2,1.8330302779823358,144,0.2,0.4000000000000001,1,18.6,24,0.0,0,0,1801651.2,861522.6349904916,31901118.8,1.0,1.0,0,data_normal
10,470.1,96.62965383359293,602,326,144.6,1.6852299546352716,147,0.2,0.4000000000000001,1,18.8,25,0.0,0,0,1848051.2,886129.1030034844,32372563.2,1.0,1.0,0,data_normal
5,418.8,136.89616503028856,689,318,1.6,0.4898979485566356,2,0.0,0.0,0,3.8,5,0.0,0,0,36192.0,8580.583849599047,4545080.8,1.0,1.0,0,data_normal_s2
10,488.5,132.26583081053096,652,314,4.1,1.374772708486752,6,0.0,0.0,0,5.5,7,0.0,0,0,77459.2,33815.758920361375,9517965.6,1.0,1.0,0,data_normal_s2
10,472.1,109.94766937047824,600,332,7.7,1.5524174696260025,10,0.0,0.0,0,6.7,8,0.0,0,0,126083.2,52868.22733703108,10023082.4,1.0,1.0,0,data_normal_s2
10,465.4,112.57193255869777,595,286,11.3,1.5524174696260022,13,0.0,0.0,0,7.5,8,0.0,0,0,173142.4,68114.08789846634,10515146.4,1.0,1.0,0,data_normal_s2
10,459.8,103.69165829515893,583,306,15.2,1.4696938456699067,17,0.0,0.0,0,8.7,10,0.0,0,0,225376.0,88454.53521442527,11046755.2,1.0,1.0,0,data_normal_s2
10,440.5,117.9900419527004,585,292,19.0,1.5491933384829668,21,0.0,0.0,0,9.1,10,0.0,0,0,270553.6,106963.31679524528,11551733.2,1.0,1.0,0,data_normal_s2
10,433.2,123.65338652863494,592,276,22.6,1.562049935181331,25,0.0,0.0,0,9.4,11,0.0,0,0,311520.0,119429.76191887849,12033437.2,1.0,1.0,0,data_normal_s2
10,423.1,107.17784285942687,578,278,26.6,1.562049935181331,29,0.0,0.0,0,9.9,12,0.0,0,0,359171.2,139439.6542600418,12566132.8,1.0,1.0,0,data_normal_s2
10,413.4,77.54637322273686,531,297,30.0,1.4832396974191326,32,0.0,0.0,0,10.7,13,0.0,0,0,400521.6,156581.13446721478,13026383.2,1.0,1.0,0,data_normal_s2
10,412.8,83.34962507414176,532,286,33.8,1.6613247725836147,36,0.0,0.0,0,11.0,13,0.0,0,0,449260.8,177673.77275715175,13542619.2,1.0,1.0,0,data_normal_s2
10,443.7,65.36061505218566,524,354,37.6,1.562049935181331,40,0.0,0.0,0,11.3,13,0.0,0,0,501116.8,197162.5483690044,14056097.6,1.0,1.0,0,data_normal_s2
10,437.9,96.68862394304719,574,320,41.6,1.562049935181331,44,0.0,0.0,0,11.8,14,0.0,0,0,551728.0,216233.94371097244,14577556.8,1.0,1.0,0,data_normal_s2
10,432.1,83.72150261432245,535,314,45.1,1.6401219466856727,48,0.0,0.0,0,11.9,14,0.0,0,0,594179.2,232042.42125818288,15056811.6,1.0,1.0,0,data_normal_s2
10,466.8,89.75277154495006,611,344,48.8,1.469693845669907,51,0.0,0.0,0,12.2,15,0.0,0,0,646595.2,251729.5784149332,15561104.8,1.0,1.0,0,data_normal_s2
10,484.2,115.78410944512206,629,292,52.7,1.5524174696260025,55,0.0,0.0,0,13.0,16,0.0,0,0,698496.0,275173.1503181224,16094642.0,1.0,1.0,0,data_normal_s2
10,473.1,123.37134999666657,602,302,56.4,1.4282856857085702,59,0.0,0.0,0,13.4,16,0.0,0,0,745148.8,292685.3652579165,16604500.4,1.0,1.0,0,data_normal_s2
10,484.2,123.95466913351832,667,306,60.0,1.5491933384829668,63,0.0,0.0,0,13.7,16,0.0,0,0,791452.8,308562.96061219013,17091754.4,1.0,1.0,0,data_normal_s2
10,497.0,128.7936333830209,668,321,63.7,1.4177446878757822,66,0.0,0.0,0,13.9,17,0.0,0,0,841974.4,328535.25826102745,17605634.0,1.0,1.0,0,data_normal_s2
10,487.6,133.91355420568897,650,299,67.6,1.3564659966250536,70,0.0,0.0,0,14.2,17,0.0,0,0,890662.4,347156.7993178875,18119540.0,1.0,1.0,0,data_normal_s2
10,498.3,103.7844400669002,631,338,71.3,1.4866068747318506,74,0.0,0.0,0,14.4,17,0.0,0,0,940976.0,370609.304699167,18632136.4,1.0,1.0,0,data_normal_s2
10,483.6,123.2584277037477,670,316,74.9,1.6401219466856725,78,0.0,0.0,0,14.5,18,0.0,0,0,986352.0,386835.5233325916,19124017.6,1.0,1.0,0,data_normal_s2
10,468.5,127.34853748669437,625,296,78.6,1.5620499351813308,81,0.0,0.0,0,14.7,18,0.0,0,0,1030662.4,404753.6693929284,19621240.4,1.0,1.0,0,data_normal_s2
10,464.0,137.82525167762256,642,290,82.2,1.469693845669907,85,0.0,0.0,0,14.7,18,0.0,0,0,1074323.2,420475.811291161,20106676.8,1.0,1.0,0,data_normal_s2
10,452.0,139.64956140282,627,270,86.2,1.469693845669907,89,0.0,0.0,0,14.9,19,0.0,0,0,1121020.8,438166.5336770484,20639318.0,1.0,1.0,0,data_normal_s2
10,450.2,132.15279036024933,590,263,89.8,1.5362291495737217,93,0.0,0.0,0,14.9,19,0.0,0,0,1161564.8,453449.69958856516,21115721.6,1.0,1.0,0,data_normal_s2
10,465.2,123.12254058457371,619,278,93.5,1.5,96,0.0,0.0,0,15.1,19,0.0,0,0,1209116.8,472806.9469161383,21616883.6,1.0,1.0,0,data_normal_s2
10,463.9,109.67447287313489,582,290,97.4,1.42828568570857,100,0.0,0.0,0,15.2,20,0.0,0,0,1254582.4,494229.6656323252,22136014.4,1.0,1.0,0,data_normal_s2
10,461.4,101.64959419495977,580,323,101.1,1.7,104,0.0,0.0,0,15.3,21,0.0,0,0,1301385.6,515845.63571114955,22648312.0,1.0,1.0,0,data_normal_s2
10,450.1,111.14355581858986,575,292,104.9,1.7,108,0.0,0.0,0,15.5,21,0.0,0,0,1344739.2,529552.1566691613,23154708.8,1.0,1.0,0,data_normal_s2
10,439.3,119.51991465860407,582,277,108.5,1.5652475842498528,111,0.0,0.0,0,15.9,22,0.0,0,0,1386332.8,542871.6673831487,23644704.8,1.0,1.0,0,data_normal_s2
10,450.8,114.41835517083787,566,303,112.1,1.7,115,0.0,0.0,0,16.2,22,0.0,0,0,1432534.4,564175.904129767,24140373.6,1.0,1.0,0,data_normal_s2
10,447.3,134.44630898615253,602,274,115.9,1.7,119,0.0,0.0,0,16.7,22,0.0,0,0,1477408.0,574392.3556037284,24650811.2,1.0,1.0,0,data_normal_s2
10,452.1,129.65604498055615,579,277,119.7,1.7916472867168918,123,0.0,0.0,0,17.2,23,0.0,0,0,1526179.2,592796.372018048,25165516.4,1.0,1.0,0,data_normal_s2
10,430.4,108.85513308980886,538,280,123.3,1.4866068747318506,126,0.0,0.0,0,17.3,23,0.0,0,0,1567382.4,608849.6614782995,25658139.6,1.0,1.0,0,data_normal_s2
10,425.8,109.55710839557604,536,282,126.9,1.9209372712298545,130,0.0,0.0,0,17.7,23,0.0,0,0,1612304.0,628444.140280423,26158606.8,1.0,1.0,0,data_normal_s2
10,424.3,93.70597633022133,533,288,130.6,2.1071307505705477,134,0.0,0.0,0,18.2,24,0.0,0,0,1659129.6,646534.7906671689,26669986.8,1.0,1.0,0,data_normal_s2
10,429.2,93.39143429672767,555,305,134.4,2.009975124224178,138,0.0,0.0,0,18.3,24,0.0,0,0,1705129.6,663436.5117168635,27188055.2,1.0,1.0,0,data_normal_s2
10,443.9,98.82049382592662,579,296,138.0,1.9493588689617927,141,0.0,0.0,0,18.6,25,0.0,0,0,1751632.0,680295.7231040042,27670206.0,1.0,1.0,0,data_normal_s2
10,440.0,92.70814419456362,543,277,141.7,2.051828452868319,145,0.0,0.0,0,18.9,25,0.0,0,0,1799350.4,705103.8827729146,28167038.0,1.0,1.0,0,data_normal_s2
10,429.5,101.30967377304104,551,265,145.5,2.0615528128088303,149,0.0,0.0,0,19.0,26,0.0,0,0,1845990.4,725972.2853976177,28689111.6,1.0,1.0,0,data_normal_s2
3,403.6666666666667,117.13904368550888,569,312,1.3333333333333333,0.4714045207910317,2,0.3333333333333333,0.4714045207910317,1,3.6666666666666665,4,0.3333333333333333,1,0,25600.0,5137.237649424705,5583236.0,1.0,1.0,0,data_normal_s3
10,461.0,109.81165694041776,583,313,3.4,1.2806248474865698,6,0.5,0.5,1,5.6,7,0.4,1,0,64646.4,26512.824803102365,18181791.6,1.0,1.0,0,data_normal_s3
10,457.6,117.4114134145399,606,296,7.4,1.2806248474865698,10,0.5,0.5,1,7.1,10,0.4,1,0,117440.0,46312.84062114955,18720982.8,1.0,1.0,0,data_normal_s3
10,479.6,114.3662537639491,624,312,10.8,1.4,14,0.5,0.5,1,8.0,10,0.4,1,0,165356.8,63565.58034156536,19187589.6,1.0,1.0,0,data_normal_s3
10,490.4,109.30983487317141,616,312,14.3,1.3453624047073711,17,0.5,0.5,1,8.6,10,0.4,1,0,214438.4,82475.73100882464,19687488.4,1.0,1.0,0,data_normal_s3
10,506.3,107.39278374267053,635,352,18.3,1.3453624047073711,21,0.5,0.5,1,9.4,12,0.4,1,0,270179.2,109143.90396242935,20232514.4,1.0,1.0,0,data_normal_s3
10,490.0,133.4406234997424,648,306,22.1,1.3,25,0.5,0.5,1,9.9,12,0.4,1,0,320281.6,127572.63439719351,20742972.4,1.0,1.0,0,data_normal_s3
10,483.1,128.50249024824382,629,286,25.9,1.2206555615733703,29,0.5,0.5,1,10.1,12,0.4,1,0,362425.6,140725.06937088358,21239886.4,1.0,1.0,0,data_normal_s3
10,475.4,119.7223454497948,655,296,29.6,1.1135528725660042,32,0.5,0.5,1,10.8,13,0.4,1,0,412576.0,160210.3385428044,21747847.2,1.0,1.0,0,data_normal_s3
